                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    201,                 1.1413,                 2.1361,                 1.1492,                 1.1104,                0.54306,                 0.5609,                0.50871,                0.34613,                0.54328,                0.55073,                0.49837,                0.29995,                 1.0613,                 1.9585,                  1.028,                 1.0761,                0.00868,                0.00868,                0.00868
                    202,                 1.1388,                 2.1294,                 1.1476,                 1.1109,                0.54342,                0.56168,                0.50881,                0.34619,                0.54306,                0.55117,                0.49844,                0.29996,                 1.0611,                 1.9587,                 1.0279,                 1.0761,              0.0086734,              0.0086734,              0.0086734
                    203,                 1.1381,                 2.1328,                 1.1476,                 1.1113,                0.54235,                0.56158,                0.50859,                0.34597,                0.54323,                 0.5513,                0.49813,                0.29957,                 1.0611,                 1.9588,                 1.0277,                 1.0761,              0.0086668,              0.0086668,              0.0086668
                    204,                 1.1382,                 2.1282,                 1.1446,                 1.1102,                0.54317,                0.56212,                0.50908,                 0.3461,                0.54284,                0.55241,                0.49847,                0.29979,                 1.0611,                 1.9586,                 1.0277,                  1.076,              0.0086602,              0.0086602,              0.0086602
                    205,                 1.1355,                 2.1221,                 1.1434,                 1.1103,                0.54277,                0.56244,                0.50912,                0.34619,                0.54109,                0.55358,                0.49834,                0.29991,                 1.0612,                 1.9584,                 1.0276,                  1.076,              0.0086536,              0.0086536,              0.0086536
                    206,                 1.1412,                  2.134,                 1.1494,                 1.1124,                0.54225,                0.56331,                0.50922,                0.34617,                0.54216,                0.55365,                0.49841,                0.29991,                 1.0611,                 1.9582,                 1.0275,                  1.076,               0.008647,               0.008647,               0.008647
                    207,                 1.1407,                  2.134,                 1.1447,                 1.1103,                0.54089,                 0.5642,                 0.5092,                0.34625,                0.54145,                0.55332,                0.49856,                0.29998,                 1.0612,                 1.9582,                 1.0274,                 1.0759,              0.0086404,              0.0086404,              0.0086404
                    208,                 1.1379,                 2.1294,                 1.1471,                  1.111,                0.54115,                 0.5644,                0.50917,                0.34599,                0.54178,                0.55379,                0.49822,                 0.2997,                 1.0612,                 1.9582,                 1.0274,                  1.076,              0.0086338,              0.0086338,              0.0086338
                    209,                 1.1418,                   2.14,                 1.1502,                 1.1109,                 0.5421,                0.56469,                 0.5093,                0.34618,                0.54241,                0.55388,                0.49825,                0.29983,                 1.0612,                 1.9581,                 1.0272,                  1.076,              0.0086272,              0.0086272,              0.0086272
                    210,                 1.1436,                 2.1385,                 1.1492,                 1.1111,                0.54072,                0.56603,                0.50928,                0.34608,                0.54369,                0.55248,                0.49843,                0.29985,                 1.0611,                 1.9582,                 1.0271,                  1.076,              0.0086206,              0.0086206,              0.0086206
                    211,                 1.1349,                 2.1226,                  1.141,                 1.1089,                0.54345,                0.56352,                0.50935,                0.34627,                0.54347,                0.55396,                0.49871,                0.29996,                 1.0609,                 1.9577,                 1.0271,                 1.0759,               0.008614,               0.008614,               0.008614
                    212,                 1.1369,                 2.1228,                 1.1446,                 1.1086,                0.54292,                0.56442,                 0.5095,                0.34634,                0.54405,                0.55381,                0.49882,                0.30007,                 1.0608,                  1.958,                 1.0269,                 1.0758,              0.0086074,              0.0086074,              0.0086074
                    213,                 1.1388,                 2.1304,                 1.1463,                 1.1103,                0.54272,                 0.5639,                0.50948,                0.34651,                0.54325,                0.55346,                0.49899,                 0.3002,                 1.0607,                 1.9577,                 1.0268,                 1.0758,              0.0086008,              0.0086008,              0.0086008
                    214,                 1.1357,                 2.1225,                 1.1421,                 1.1089,                0.54249,                0.56547,                0.50932,                0.34631,                0.54318,                0.55336,                0.49893,                0.30016,                 1.0605,                 1.9578,                 1.0266,                 1.0756,              0.0085942,              0.0085942,              0.0085942
                    215,                 1.1365,                 2.1236,                 1.1444,                 1.1115,                0.54172,                0.56483,                0.50943,                0.34663,                0.54187,                0.55572,                0.49912,                0.30026,                 1.0604,                 1.9575,                 1.0264,                 1.0755,              0.0085876,              0.0085876,              0.0085876
                    216,                  1.139,                 2.1286,                 1.1468,                  1.111,                0.54169,                 0.5651,                0.50956,                0.34673,                0.54196,                0.55451,                0.49905,                0.30035,                 1.0605,                 1.9574,                 1.0263,                 1.0755,               0.008581,               0.008581,               0.008581
                    217,                 1.1378,                   2.13,                 1.1455,                 1.1107,                0.54184,                0.56554,                0.50977,                0.34693,                0.54189,                0.55464,                0.49896,                0.30035,                 1.0604,                 1.9574,                 1.0262,                 1.0755,              0.0085744,              0.0085744,              0.0085744
                    218,                 1.1372,                 2.1278,                 1.1456,                 1.1102,                0.54176,                0.56598,                0.50983,                0.34707,                0.54296,                0.55409,                0.49943,                0.30049,                 1.0602,                 1.9573,                  1.026,                 1.0756,              0.0085678,              0.0085678,              0.0085678
                    219,                 1.1332,                 2.1168,                 1.1382,                 1.1063,                0.54089,                0.56559,                 0.5098,                0.34714,                0.54245,                0.55423,                0.49928,                0.30046,                 1.0603,                 1.9574,                 1.0259,                 1.0756,              0.0085612,              0.0085612,              0.0085612
                    220,                 1.1391,                 2.1303,                 1.1424,                 1.1087,                0.54209,                0.56466,                0.51005,                0.34725,                0.54278,                 0.5545,                0.49951,                0.30064,                 1.0603,                  1.957,                 1.0259,                 1.0755,              0.0085546,              0.0085546,              0.0085546
                    221,                 1.1364,                 2.1237,                  1.141,                 1.1078,                0.54197,                0.56474,                 0.5099,                0.34725,                0.54195,                 0.5548,                0.49937,                0.30072,                 1.0603,                 1.9568,                 1.0256,                 1.0756,               0.008548,               0.008548,               0.008548
                    222,                 1.1376,                  2.122,                 1.1413,                 1.1094,                0.54227,                0.56468,                0.50997,                0.34738,                0.54163,                0.55454,                0.49958,                0.30081,                 1.0603,                 1.9571,                 1.0255,                 1.0755,              0.0085414,              0.0085414,              0.0085414
                    223,                  1.136,                 2.1225,                  1.142,                 1.1094,                0.54054,                0.56634,                0.50992,                0.34724,                0.54123,                0.55428,                0.49928,                0.30081,                 1.0603,                 1.9569,                 1.0253,                 1.0755,              0.0085348,              0.0085348,              0.0085348
                    224,                 1.1367,                 2.1315,                 1.1447,                 1.1088,                0.54087,                0.56523,                0.50989,                0.34716,                0.54234,                0.55339,                0.49909,                0.30087,                 1.0602,                 1.9568,                 1.0252,                 1.0754,              0.0085282,              0.0085282,              0.0085282
                    225,                 1.1363,                 2.1279,                 1.1422,                 1.1099,                 0.5418,                0.56462,                0.50972,                0.34701,                 0.5427,                0.55375,                0.49892,                0.30069,                 1.0601,                 1.9569,                 1.0252,                 1.0755,              0.0085216,              0.0085216,              0.0085216
                    226,                 1.1359,                 2.1305,                 1.1429,                 1.1093,                  0.542,                0.56478,                0.50978,                0.34697,                0.54161,                0.55495,                0.49889,                0.30078,                 1.0603,                 1.9566,                 1.0251,                 1.0755,               0.008515,               0.008515,               0.008515
                    227,                 1.1387,                 2.1327,                 1.1491,                 1.1105,                0.54287,                0.56323,                 0.5101,                0.34708,                0.54244,                0.55479,                0.49941,                0.30093,                 1.0602,                 1.9563,                  1.025,                 1.0756,              0.0085084,              0.0085084,              0.0085084
                    228,                 1.1364,                 2.1278,                 1.1405,                 1.1086,                 0.5424,                0.56357,                 0.5101,                0.34723,                0.54309,                0.55385,                0.49973,                0.30102,                 1.0602,                 1.9561,                 1.0248,                 1.0755,              0.0085018,              0.0085018,              0.0085018
                    229,                 1.1359,                 2.1259,                 1.1406,                 1.1093,                0.54309,                 0.5638,                0.51006,                0.34719,                 0.5443,                0.55295,                0.49943,                0.30086,                   1.06,                  1.956,                 1.0246,                 1.0755,              0.0084952,              0.0084952,              0.0084952
                    230,                 1.1365,                 2.1281,                 1.1441,                 1.1082,                0.54342,                0.56353,                0.51012,                0.34725,                0.54435,                 0.5528,                0.49939,                0.30089,                 1.0601,                 1.9561,                 1.0244,                 1.0756,              0.0084886,              0.0084886,              0.0084886
                    231,                 1.1349,                 2.1275,                 1.1433,                 1.1098,                0.54308,                0.56305,                0.51009,                 0.3472,                0.54492,                0.55215,                0.49946,                0.30099,                 1.0601,                 1.9561,                 1.0245,                 1.0756,               0.008482,               0.008482,               0.008482
                    232,                 1.1377,                 2.1286,                 1.1452,                 1.1096,                0.54491,                0.56077,                0.51029,                0.34734,                 0.5473,                0.55079,                0.49963,                0.30128,                   1.06,                 1.9562,                 1.0244,                 1.0755,              0.0084754,              0.0084754,              0.0084754
                    233,                 1.1324,                  2.117,                 1.1367,                 1.1079,                0.54435,                0.56196,                0.51042,                0.34745,                0.54579,                0.55157,                0.49968,                 0.3013,                   1.06,                 1.9559,                 1.0243,                 1.0753,              0.0084688,              0.0084688,              0.0084688
                    234,                 1.1371,                 2.1305,                  1.141,                 1.1085,                0.54558,                0.56104,                0.51047,                0.34757,                0.54445,                  0.553,                    0.5,                 0.3014,                 1.0598,                 1.9562,                 1.0243,                 1.0752,              0.0084622,              0.0084622,              0.0084622
                    235,                 1.1349,                 2.1244,                 1.1447,                 1.1071,                0.54557,                0.56089,                0.51038,                0.34763,                0.54493,                0.55292,                0.49998,                0.30149,                 1.0595,                 1.9557,                 1.0242,                  1.075,              0.0084556,              0.0084556,              0.0084556
                    236,                 1.1333,                 2.1215,                 1.1387,                 1.1089,                0.54378,                0.56329,                0.51039,                 0.3475,                0.54497,                0.55276,                0.50003,                0.30156,                 1.0595,                 1.9557,                 1.0242,                  1.075,               0.008449,               0.008449,               0.008449
                    237,                 1.1371,                 2.1282,                 1.1429,                 1.1095,                0.54465,                0.56278,                0.51036,                0.34749,                0.54464,                0.55368,                0.49996,                0.30145,                 1.0595,                 1.9556,                 1.0241,                  1.075,              0.0084424,              0.0084424,              0.0084424
                    238,                 1.1372,                 2.1222,                 1.1385,                 1.1088,                0.54344,                0.56402,                0.51042,                 0.3475,                0.54228,                0.55434,                 0.4996,                0.30149,                 1.0592,                 1.9552,                 1.0241,                 1.0749,              0.0084358,              0.0084358,              0.0084358
                    239,                 1.1329,                 2.1212,                 1.1387,                  1.108,                 0.5442,                0.56389,                0.51046,                0.34739,                0.54446,                0.55388,                0.49984,                0.30136,                 1.0591,                 1.9552,                 1.0239,                 1.0749,              0.0084292,              0.0084292,              0.0084292
                    240,                 1.1328,                  2.121,                 1.1433,                 1.1096,                0.54561,                0.56303,                0.51037,                0.34737,                0.54331,                 0.5549,                0.49971,                0.30129,                 1.0591,                 1.9552,                 1.0238,                 1.0748,              0.0084226,              0.0084226,              0.0084226
                    241,                 1.1362,                 2.1231,                 1.1408,                 1.1074,                0.54511,                0.56419,                0.51039,                 0.3474,                0.54392,                0.55461,                0.49981,                 0.3013,                 1.0591,                 1.9553,                 1.0239,                 1.0748,               0.008416,               0.008416,               0.008416
                    242,                 1.1378,                 2.1284,                 1.1422,                 1.1087,                0.54541,                0.56276,                 0.5104,                0.34752,                0.54444,                0.55378,                0.49999,                0.30142,                 1.0589,                 1.9553,                 1.0238,                 1.0747,              0.0084094,              0.0084094,              0.0084094
                    243,                 1.1355,                 2.1304,                 1.1406,                 1.1093,                0.54516,                0.56188,                0.51045,                 0.3475,                0.54336,                0.55402,                0.49993,                 0.3014,                 1.0587,                 1.9554,                 1.0237,                 1.0746,              0.0084028,              0.0084028,              0.0084028
                    244,                 1.1364,                 2.1258,                 1.1452,                 1.1082,                 0.5444,                0.56317,                0.51048,                0.34751,                0.54439,                0.55371,                0.50017,                0.30141,                 1.0584,                 1.9553,                 1.0236,                 1.0744,              0.0083962,              0.0083962,              0.0083962
                    245,                 1.1324,                 2.1181,                 1.1368,                 1.1071,                0.54493,                0.56195,                0.51042,                0.34748,                0.54409,                 0.5539,                0.50023,                0.30134,                 1.0584,                 1.9552,                 1.0235,                 1.0743,              0.0083896,              0.0083896,              0.0083896
                    246,                 1.1354,                 2.1192,                 1.1378,                 1.1075,                0.54642,                0.56111,                0.51051,                0.34747,                0.54426,                0.55391,                0.50031,                0.30154,                 1.0584,                 1.9551,                 1.0235,                 1.0742,               0.008383,               0.008383,               0.008383
                    247,                 1.1328,                 2.1178,                 1.1428,                 1.1079,                0.54646,                0.56185,                0.51079,                0.34761,                 0.5441,                0.55445,                0.50044,                 0.3016,                 1.0584,                 1.9547,                 1.0235,                 1.0742,              0.0083764,              0.0083764,              0.0083764
                    248,                 1.1351,                 2.1239,                 1.1409,                 1.1075,                0.54554,                0.56176,                 0.5111,                0.34769,                0.54405,                0.55467,                0.50052,                0.30169,                 1.0584,                 1.9546,                 1.0233,                 1.0742,              0.0083698,              0.0083698,              0.0083698
                    249,                 1.1334,                 2.1185,                 1.1417,                  1.108,                0.54645,                0.56183,                0.51117,                0.34763,                0.54387,                0.55463,                0.50047,                0.30173,                 1.0584,                 1.9548,                 1.0232,                 1.0742,              0.0083632,              0.0083632,              0.0083632
                    250,                 1.1343,                 2.1214,                 1.1393,                 1.1084,                0.54606,                0.56136,                0.51084,                0.34769,                0.54644,                0.55264,                0.50067,                0.30168,                 1.0583,                 1.9546,                 1.0231,                 1.0741,              0.0083566,              0.0083566,              0.0083566
                    251,                 1.1365,                 2.1268,                 1.1435,                 1.1084,                0.54409,                0.56373,                0.51094,                0.34762,                  0.546,                0.55255,                0.50077,                0.30166,                 1.0583,                 1.9544,                 1.0232,                 1.0741,                0.00835,                0.00835,                0.00835
                    252,                 1.1338,                  2.125,                  1.143,                 1.1087,                0.54419,                0.56429,                0.51102,                0.34765,                0.54591,                0.55255,                0.50094,                0.30163,                 1.0581,                 1.9539,                 1.0229,                  1.074,              0.0083434,              0.0083434,              0.0083434
                    253,                  1.138,                 2.1276,                 1.1402,                 1.1076,                0.54471,                0.56485,                0.51098,                0.34751,                 0.5477,                0.55219,                0.50084,                0.30155,                 1.0581,                 1.9539,                 1.0228,                  1.074,              0.0083368,              0.0083368,              0.0083368
                    254,                 1.1342,                 2.1223,                 1.1419,                 1.1086,                 0.5467,                0.56287,                0.51098,                0.34758,                0.54545,                 0.5533,                0.50063,                0.30154,                 1.0579,                 1.9538,                 1.0227,                 1.0739,              0.0083302,              0.0083302,              0.0083302
                    255,                 1.1311,                  2.116,                 1.1378,                 1.1079,                0.54624,                0.56311,                0.51103,                 0.3477,                0.54518,                0.55487,                0.50073,                 0.3017,                 1.0579,                 1.9536,                 1.0226,                 1.0739,              0.0083236,              0.0083236,              0.0083236
                    256,                 1.1342,                 2.1245,                 1.1392,                 1.1082,                0.54663,                0.56286,                0.51137,                0.34772,                0.54679,                  0.554,                0.50087,                0.30185,                 1.0582,                 1.9538,                 1.0225,                 1.0741,               0.008317,               0.008317,               0.008317
                    257,                 1.1362,                 2.1251,                 1.1397,                 1.1078,                0.54478,                0.56511,                0.51126,                 0.3477,                0.54586,                0.55488,                0.50078,                0.30176,                 1.0582,                 1.9537,                 1.0224,                  1.074,              0.0083104,              0.0083104,              0.0083104
                    258,                  1.136,                 2.1274,                 1.1416,                 1.1072,                0.54573,                0.56389,                 0.5114,                 0.3479,                0.54708,                0.55398,                0.50099,                0.30191,                 1.0581,                 1.9534,                 1.0222,                  1.074,              0.0083038,              0.0083038,              0.0083038
                    259,                 1.1333,                 2.1251,                 1.1433,                 1.1081,                0.54551,                0.56506,                0.51147,                0.34803,                0.54802,                0.55308,                0.50128,                0.30201,                 1.0583,                 1.9533,                 1.0222,                  1.074,              0.0082972,              0.0082972,              0.0082972
                    260,                 1.1384,                 2.1263,                   1.14,                 1.1084,                0.54514,                0.56488,                0.51142,                0.34817,                0.54759,                0.55305,                0.50111,                0.30215,                 1.0581,                 1.9532,                 1.0221,                 1.0739,              0.0082906,              0.0082906,              0.0082906
                    261,                 1.1315,                 2.1195,                 1.1402,                 1.1074,                0.54683,                0.56263,                0.51165,                0.34838,                0.54829,                0.55314,                0.50119,                0.30227,                 1.0582,                 1.9534,                  1.022,                  1.074,               0.008284,               0.008284,               0.008284
                    262,                 1.1313,                 2.1198,                 1.1389,                  1.107,                0.54709,                0.56324,                0.51187,                0.34844,                0.54651,                0.55414,                0.50132,                0.30247,                 1.0582,                 1.9532,                 1.0219,                 1.0741,              0.0082774,              0.0082774,              0.0082774
                    263,                 1.1369,                 2.1254,                  1.139,                 1.1062,                0.54581,                0.56398,                0.51169,                0.34852,                0.54597,                0.55499,                0.50143,                0.30253,                 1.0579,                  1.953,                 1.0217,                  1.074,              0.0082708,              0.0082708,              0.0082708
                    264,                 1.1393,                 2.1295,                 1.1421,                 1.1082,                0.54537,                0.56324,                0.51174,                 0.3485,                 0.5471,                 0.5539,                0.50138,                 0.3025,                 1.0578,                 1.9526,                 1.0216,                 1.0739,              0.0082642,              0.0082642,              0.0082642
                    265,                 1.1354,                 2.1247,                 1.1425,                 1.1083,                0.54649,                0.56257,                 0.5117,                0.34852,                0.54691,                0.55416,                0.50128,                0.30252,                 1.0578,                 1.9525,                 1.0215,                 1.0739,              0.0082576,              0.0082576,              0.0082576
                    266,                 1.1312,                 2.1161,                 1.1346,                 1.1054,                 0.5449,                0.56407,                0.51151,                0.34859,                0.54589,                0.55374,                0.50115,                 0.3025,                 1.0576,                 1.9523,                 1.0214,                 1.0738,               0.008251,               0.008251,               0.008251
                    267,                 1.1293,                 2.1202,                  1.136,                 1.1057,                 0.5456,                0.56472,                0.51159,                0.34856,                0.54703,                0.55265,                0.50136,                0.30246,                 1.0575,                 1.9522,                 1.0213,                 1.0737,              0.0082444,              0.0082444,              0.0082444
                    268,                 1.1331,                  2.119,                 1.1364,                 1.1072,                0.54486,                0.56456,                 0.5115,                0.34856,                0.54726,                0.55292,                0.50134,                0.30244,                 1.0576,                 1.9521,                 1.0212,                 1.0737,              0.0082378,              0.0082378,              0.0082378
                    269,                 1.1364,                 2.1235,                 1.1381,                 1.1074,                0.54382,                0.56512,                0.51137,                0.34845,                 0.5464,                0.55404,                 0.5013,                0.30251,                 1.0577,                 1.9521,                 1.0211,                 1.0738,              0.0082312,              0.0082312,              0.0082312
                    270,                 1.1361,                 2.1233,                 1.1397,                 1.1085,                0.54453,                 0.5647,                0.51124,                0.34844,                0.54493,                0.55579,                0.50124,                0.30255,                 1.0578,                 1.9521,                  1.021,                 1.0737,              0.0082246,              0.0082246,              0.0082246
                    271,                 1.1313,                  2.117,                 1.1363,                 1.1051,                0.54674,                0.56292,                0.51132,                0.34843,                0.54481,                0.55552,                0.50124,                0.30259,                 1.0579,                 1.9522,                 1.0209,                 1.0737,               0.008218,               0.008218,               0.008218
                    272,                 1.1362,                 2.1231,                 1.1387,                 1.1082,                0.54772,                 0.5631,                0.51144,                0.34855,                0.54516,                0.55556,                0.50112,                 0.3026,                 1.0578,                 1.9519,                 1.0207,                 1.0737,              0.0082114,              0.0082114,              0.0082114
                    273,                  1.131,                 2.1215,                 1.1363,                 1.1066,                0.54543,                0.56549,                0.51145,                 0.3485,                0.54693,                0.55354,                0.50128,                0.30262,                 1.0579,                 1.9519,                 1.0208,                 1.0738,              0.0082048,              0.0082048,              0.0082048
                    274,                 1.1314,                 2.1132,                 1.1342,                 1.1066,                0.54582,                0.56538,                0.51143,                0.34859,                0.54783,                0.55366,                0.50147,                0.30268,                 1.0578,                 1.9516,                 1.0207,                 1.0738,              0.0081982,              0.0081982,              0.0081982
                    275,                 1.1353,                 2.1259,                 1.1396,                 1.1073,                0.54619,                0.56418,                0.51144,                0.34857,                0.54795,                0.55441,                0.50158,                0.30276,                  1.058,                 1.9517,                 1.0206,                 1.0738,              0.0081916,              0.0081916,              0.0081916
                    276,                   1.13,                 2.1107,                 1.1333,                  1.105,                0.54508,                0.56547,                0.51174,                0.34866,                0.54762,                0.55439,                0.50175,                0.30282,                  1.058,                 1.9518,                 1.0206,                 1.0737,               0.008185,               0.008185,               0.008185
                    277,                 1.1323,                 2.1192,                 1.1363,                 1.1067,                0.54471,                0.56523,                0.51193,                0.34874,                0.54733,                0.55444,                0.50186,                0.30286,                 1.0579,                 1.9515,                 1.0205,                 1.0737,              0.0081784,              0.0081784,              0.0081784
                    278,                 1.1301,                 2.1124,                 1.1314,                 1.1043,                0.54705,                0.56329,                0.51203,                0.34892,                0.54704,                0.55459,                0.50182,                0.30292,                 1.0578,                 1.9515,                 1.0204,                 1.0736,              0.0081718,              0.0081718,              0.0081718
                    279,                  1.137,                 2.1277,                  1.141,                 1.1076,                0.54428,                 0.5653,                0.51202,                0.34899,                0.54835,                  0.553,                0.50174,                 0.3029,                 1.0578,                 1.9513,                 1.0204,                 1.0736,              0.0081652,              0.0081652,              0.0081652
                    280,                 1.1314,                  2.117,                 1.1358,                 1.1051,                0.54355,                0.56531,                0.51186,                0.34896,                0.54734,                0.55436,                0.50165,                0.30286,                 1.0578,                 1.9511,                 1.0204,                 1.0736,              0.0081586,              0.0081586,              0.0081586
                    281,                 1.1309,                 2.1142,                 1.1373,                 1.1052,                0.54422,                0.56578,                0.51206,                0.34903,                0.54698,                 0.5547,                0.50177,                0.30287,                 1.0578,                 1.9512,                 1.0203,                 1.0735,               0.008152,               0.008152,               0.008152
                    282,                  1.134,                 2.1203,                 1.1366,                 1.1078,                0.54392,                0.56538,                  0.512,                0.34914,                0.54723,                 0.5551,                0.50214,                0.30291,                 1.0578,                  1.951,                 1.0202,                 1.0735,              0.0081454,              0.0081454,              0.0081454
                    283,                 1.1349,                 2.1227,                 1.1366,                 1.1081,                0.54663,                0.56382,                 0.5122,                0.34916,                0.54714,                 0.5554,                0.50224,                0.30306,                 1.0578,                 1.9509,                   1.02,                 1.0735,              0.0081388,              0.0081388,              0.0081388
                    284,                 1.1322,                 2.1188,                 1.1385,                  1.107,                0.54357,                0.56612,                0.51229,                0.34922,                0.54593,                 0.5551,                0.50212,                0.30302,                 1.0578,                 1.9505,                   1.02,                 1.0735,              0.0081322,              0.0081322,              0.0081322
                    285,                 1.1356,                 2.1229,                 1.1389,                 1.1069,                0.54655,                0.56429,                0.51253,                0.34938,                0.54754,                0.55396,                0.50256,                0.30318,                 1.0579,                 1.9502,                 1.0198,                 1.0734,              0.0081256,              0.0081256,              0.0081256
                    286,                 1.1332,                 2.1224,                 1.1391,                  1.107,                  0.545,                0.56596,                0.51256,                0.34946,                0.54845,                0.55392,                0.50267,                0.30328,                  1.058,                 1.9504,                 1.0199,                 1.0734,               0.008119,               0.008119,               0.008119
                    287,                 1.1331,                 2.1205,                 1.1358,                 1.1062,                0.54763,                0.56412,                0.51295,                0.34962,                0.54887,                0.55411,                 0.5027,                0.30321,                  1.058,                 1.9504,                 1.0198,                 1.0734,              0.0081124,              0.0081124,              0.0081124
                    288,                 1.1329,                 2.1209,                  1.135,                 1.1065,                0.54788,                0.56432,                0.51273,                0.34949,                0.54878,                0.55453,                0.50278,                0.30314,                 1.0579,                 1.9503,                 1.0197,                 1.0734,              0.0081058,              0.0081058,              0.0081058
                    289,                 1.1339,                 2.1183,                 1.1349,                 1.1063,                0.54747,                0.56467,                0.51291,                0.34968,                0.54913,                 0.5551,                  0.503,                0.30333,                 1.0577,                 1.9502,                 1.0196,                 1.0733,              0.0080992,              0.0080992,              0.0080992
                    290,                 1.1268,                  2.112,                 1.1335,                 1.1057,                0.54721,                0.56434,                0.51292,                0.34971,                0.54908,                0.55526,                0.50303,                0.30332,                 1.0577,                 1.9501,                 1.0195,                 1.0732,              0.0080926,              0.0080926,              0.0080926
                    291,                 1.1322,                 2.1235,                 1.1366,                 1.1069,                0.54718,                0.56482,                0.51288,                0.34971,                0.54849,                0.55542,                0.50281,                0.30334,                 1.0577,                   1.95,                 1.0194,                 1.0732,               0.008086,               0.008086,               0.008086
                    292,                 1.1356,                 2.1214,                 1.1361,                 1.1069,                 0.5467,                0.56464,                0.51287,                0.34977,                0.54798,                0.55541,                0.50293,                 0.3033,                 1.0577,                 1.9501,                 1.0194,                 1.0733,              0.0080794,              0.0080794,              0.0080794
                    293,                 1.1294,                 2.1096,                 1.1309,                 1.1043,                0.54683,                0.56485,                0.51317,                0.34983,                0.54873,                0.55508,                 0.5033,                0.30346,                 1.0577,                 1.9501,                 1.0193,                 1.0733,              0.0080728,              0.0080728,              0.0080728
                    294,                  1.136,                 2.1212,                 1.1386,                 1.1064,                0.54746,                0.56489,                0.51302,                0.34981,                 0.5491,                0.55559,                0.50301,                0.30336,                 1.0576,                 1.9499,                 1.0192,                 1.0732,              0.0080662,              0.0080662,              0.0080662
