                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.1792,                  2.219,                 1.2334,                 1.1406,                0.51666,                0.53385,                0.47443,                0.31655,                0.51549,                0.52363,                0.46459,                0.27571,                 1.0968,                 2.0358,                 1.1053,                 1.1038,              0.0098482,              0.0098482,              0.0098482
                     25,                 1.1751,                 2.2127,                 1.2279,                 1.1387,                0.52097,                0.53243,                0.47499,                0.31767,                0.51942,                0.52456,                0.46541,                 0.2766,                 1.0933,                 2.0301,                 1.1008,                 1.1019,              0.0098416,              0.0098416,              0.0098416
                     26,                  1.177,                 2.2161,                   1.23,                 1.1366,                0.52263,                0.53469,                0.47698,                0.31891,                 0.5201,                0.52458,                0.46667,                0.27761,                 1.0929,                 2.0276,                 1.0972,                 1.1008,               0.009835,               0.009835,               0.009835
                     27,                 1.1737,                 2.2115,                 1.2249,                 1.1375,                0.52493,                0.53309,                0.47705,                0.31958,                0.52505,                0.52324,                0.46808,                0.27835,                 1.0913,                 2.0255,                 1.0951,                    1.1,              0.0098284,              0.0098284,              0.0098284
                     28,                 1.1722,                 2.2061,                 1.2176,                 1.1357,                0.52453,                0.53644,                0.47897,                 0.3206,                0.52408,                0.52583,                0.46908,                 0.2795,                 1.0903,                 2.0226,                 1.0924,                  1.099,              0.0098218,              0.0098218,              0.0098218
                     29,                 1.1675,                 2.1989,                 1.2174,                  1.134,                0.52592,                0.53641,                 0.4798,                0.32164,                  0.525,                0.52753,                0.47006,                0.28005,                 1.0885,                   2.02,                 1.0903,                 1.0982,              0.0098152,              0.0098152,              0.0098152
                     30,                 1.1701,                 2.2008,                 1.2139,                 1.1333,                0.52642,                0.53717,                0.48064,                0.32197,                0.52777,                0.52512,                0.47082,                0.28048,                 1.0882,                  2.018,                 1.0881,                 1.0976,              0.0098086,              0.0098086,              0.0098086
                     31,                 1.1728,                 2.2075,                 1.2175,                 1.1345,                0.52901,                0.53518,                0.48088,                 0.3225,                0.52917,                0.52798,                0.47167,                0.28118,                 1.0861,                  2.016,                 1.0862,                 1.0961,               0.009802,               0.009802,               0.009802
                     32,                 1.1684,                 2.2027,                 1.2106,                 1.1323,                0.53018,                0.53587,                0.48188,                0.32323,                0.52965,                0.52825,                 0.4723,                0.28144,                 1.0856,                 2.0148,                 1.0843,                  1.096,              0.0097954,              0.0097954,              0.0097954
                     33,                 1.1681,                 2.1936,                 1.2094,                 1.1323,                0.52802,                0.53918,                0.48257,                0.32388,                0.52748,                0.52963,                 0.4728,                0.28179,                 1.0849,                 2.0133,                 1.0827,                 1.0955,              0.0097888,              0.0097888,              0.0097888
                     34,                 1.1675,                  2.199,                 1.2103,                 1.1301,                0.53003,                 0.5406,                0.48316,                0.32432,                0.52778,                0.53178,                0.47313,                0.28199,                 1.0838,                 2.0122,                 1.0809,                 1.0947,              0.0097822,              0.0097822,              0.0097822
                     35,                 1.1643,                 2.1908,                  1.206,                 1.1322,                0.53373,                0.53878,                0.48392,                  0.325,                0.53035,                0.53182,                0.47444,                 0.2825,                  1.083,                 2.0105,                 1.0796,                 1.0944,              0.0097756,              0.0097756,              0.0097756
                     36,                 1.1653,                 2.1923,                 1.2107,                 1.1314,                0.53141,                0.54082,                0.48446,                0.32537,                0.53101,                0.53169,                0.47454,                0.28259,                 1.0822,                 2.0093,                 1.0785,                 1.0938,               0.009769,               0.009769,               0.009769
                     37,                 1.1677,                 2.1959,                 1.2091,                 1.1309,                0.53056,                 0.5423,                0.48473,                0.32557,                0.52936,                0.53446,                0.47512,                0.28281,                 1.0818,                 2.0085,                 1.0775,                 1.0932,              0.0097624,              0.0097624,              0.0097624
                     38,                 1.1658,                 2.1874,                 1.2065,                 1.1305,                0.53077,                0.54232,                0.48525,                0.32612,                0.52895,                0.53439,                0.47535,                 0.2834,                 1.0813,                 2.0074,                 1.0763,                 1.0928,              0.0097558,              0.0097558,              0.0097558
                     39,                 1.1627,                 2.1839,                 1.2043,                 1.1301,                0.53059,                0.54307,                0.48564,                0.32639,                0.52734,                0.53603,                0.47579,                0.28375,                 1.0809,                 2.0064,                 1.0756,                 1.0927,              0.0097492,              0.0097492,              0.0097492
                     40,                 1.1624,                 2.1863,                 1.1998,                 1.1278,                0.53141,                0.54283,                0.48621,                 0.3269,                0.52926,                0.53464,                0.47665,                0.28426,                 1.0805,                 2.0055,                 1.0748,                 1.0923,              0.0097426,              0.0097426,              0.0097426
                     41,                 1.1585,                 2.1811,                 1.1989,                 1.1279,                 0.5319,                0.54202,                0.48625,                0.32701,                0.53003,                0.53421,                0.47683,                 0.2844,                 1.0805,                 2.0048,                 1.0741,                 1.0923,               0.009736,               0.009736,               0.009736
                     42,                 1.1556,                 2.1745,                 1.1932,                  1.126,                0.53347,                0.54034,                0.48627,                0.32715,                0.53166,                0.53282,                0.47678,                0.28438,                 1.0802,                 2.0041,                 1.0733,                  1.092,              0.0097294,              0.0097294,              0.0097294
                     43,                  1.164,                 2.1847,                 1.1942,                 1.1269,                0.53201,                0.54135,                 0.4865,                0.32749,                0.53247,                0.53161,                0.47718,                0.28461,                   1.08,                 2.0035,                 1.0729,                 1.0919,              0.0097228,              0.0097228,              0.0097228
                     44,                 1.1618,                 2.1874,                 1.1972,                 1.1274,                 0.5325,                0.54162,                 0.4868,                0.32774,                0.53289,                0.53196,                 0.4774,                0.28481,                 1.0797,                 2.0028,                 1.0721,                 1.0917,              0.0097162,              0.0097162,              0.0097162
                     45,                 1.1633,                 2.1902,                 1.1971,                 1.1255,                0.53161,                 0.5424,                0.48707,                0.32801,                0.53092,                0.53484,                 0.4777,                0.28494,                 1.0794,                 2.0022,                 1.0718,                 1.0915,              0.0097096,              0.0097096,              0.0097096
                     46,                 1.1624,                 2.1805,                 1.1946,                 1.1271,                0.53081,                0.54319,                0.48718,                0.32805,                0.53134,                 0.5345,                0.47771,                0.28504,                 1.0792,                 2.0016,                 1.0714,                 1.0913,               0.009703,               0.009703,               0.009703
                     47,                 1.1562,                 2.1761,                 1.1925,                 1.1252,                 0.5329,                0.54221,                0.48735,                0.32824,                0.53251,                 0.5346,                0.47794,                0.28528,                 1.0789,                 2.0011,                 1.0709,                 1.0912,              0.0096964,              0.0096964,              0.0096964
                     48,                 1.1566,                  2.174,                 1.1915,                 1.1262,                0.53041,                0.54426,                0.48779,                0.32855,                0.53188,                0.53458,                0.47828,                0.28554,                 1.0787,                 2.0007,                 1.0705,                 1.0911,              0.0096898,              0.0096898,              0.0096898
